OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
17984,958A75C3-B526-4F71-86B6-074ED969023A,00804861-2ABF-40CD-A173-1DE414EFA4BC,H1,46,46,FT,ROOF,0,OTHER,0,0,0,0,0,0,2.04304E-08,0.000576128
8290,1A6034C9-96A2-488E-90E4-EB81E43B590B,0080BFA0-45AD-4B28-8ABF-1D74161E31CE,03/21,4000,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.17395E-06,0.023234756
8291,E7E6F714-3CFE-43AE-94E3-CB694D17E163,0080BFA0-45AD-4B28-8ABF-1D74161E31CE,13/31,5412,100,FT,ASPH,2,LIH,0,0,1,1,0,0,5.6473E-06,0.040473733
6903,F4C2CACE-AB6C-4E51-AC97-A1874E19F7BE,0084054C-5C05-4415-8B99-4B49ED7EEE68,08/26,2300,100,FT,GRASS,0,,0,0,1,0,0,0,2.17689E-06,0.016402585
6904,D0E67F49-E0A0-474A-9EF8-F513C6B95A45,0084054C-5C05-4415-8B99-4B49ED7EEE68,17/35,4498,60,FT,ASPH,0,LIL,0,0,1,0,0,0,2.55445E-06,0.025116979
4078,21894783-5C4D-43FD-8051-22F325AB51FC,0085A59D-ECFA-48A7-BC39-D9B26BA68E6C,09/27,5000,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.28141E-06,0.031684357
4079,C5540FDC-2636-4975-807E-A7CFAC5A7D41,0085A59D-ECFA-48A7-BC39-D9B26BA68E6C,18/36,7319,150,FT,ASPH,2,LIH,0,0,1,1,0,0,9.40111E-06,0.041192682
5774,F0DC8099-F0C8-47F4-B718-2ED053485461,0085B673-3BC7-4865-8047-E47754AA2D2D,18/36,1940,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
23378,D712C0DA-3668-4DCB-A278-D1696A66FAA4,008CF025-370B-4426-8BC1-286B68EA1F84,H1,33,33,FT,GRASS,,,0,0,0,0,0,0,1.07989E-08,0.000419602
13911,94AF0079-24B4-4BC6-BF5D-BDA55BFEA003,008D6424-7CEC-4186-82D4-96DD3D33FD72,11/29,1885,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
7728,900BC4D4-CC32-4115-9D0E-33FCA336AE70,0090C705-EB62-4909-8294-16F0E98BBDF6,H1,55,55,FT,CONC,0,OTHER,0,0,0,0,0,0,3.07705E-08,0.00070961
9972,80ADFF3B-0BBC-43CE-9484-789724947899,009B0980-B28B-49BC-A333-D29A3D03F159,06/24,5285,75,FT,ASPH,2,LIM,0,0,1,1,0,0,4.26253E-06,0.041070267
9973,6B69381E-ABA0-4B51-9F1C-7A388A90D25E,009B0980-B28B-49BC-A333-D29A3D03F159,18/36,3475,75,FT,GRASS,2,,0,0,1,1,0,0,2.80163E-06,0.020172964
7053,CF3FB405-69C8-4CD6-908E-E60591D9BBD7,00A087F4-E312-4C28-A988-DDC114ACA488,17/35,2520,30,FT,ASPH,,,0,0,0,0,0,0,7.17345E-07,0.014054911
23955,5A2BE516-74DB-4D41-A534-87A1F7C4395F,00AADA46-E42B-4DA9-98B8-065846B0F46B,09W/27W,2500,200,FT,WATER,,,0,0,0,0,0,0,5.58919E-06,0.021485404
23956,99283089-F633-45D9-9839-463589DD0A4B,00AADA46-E42B-4DA9-98B8-065846B0F46B,18/36,1600,60,FT,UNK,,,0,0,0,0,0,0,1.0743E-06,0.009272579
23957,72EB9C06-5FE3-4DE5-899F-24915C9FF87E,00AADA46-E42B-4DA9-98B8-065846B0F46B,18W/36W,2500,200,FT,WATER,,,0,0,0,0,0,0,5.58379E-06,0.015325412
6999,4384D475-BD41-48B7-B31D-A4C43FDB9ABF,00ACA878-5BDE-4EA0-B270-E697CC21E0FC,H1,250,125,FT,BRICK,,,0,0,0,0,0,0,2.98608E-07,0.002242932
2807,96901EC2-AD90-4E56-A7AA-28C58514F61A,00AE04F7-19E6-49AA-8E5C-C7D577D5C917,17/35,2640,300,FT,ASPH,,,0,0,0,0,0,0,0.000275651,0.668320574
