country,country_name,dec_latitude,dec_longitude
RWA,Rwanda,-2.0,30.0
EST,Estonia,59.0,26.0
ROU,Romania,46.0,25.0
TTO,Trinidad and Tobago,10.6918,-61.2225
GUY,Guyana,5.0,-59.0
TLS,Timor-Leste,-8.83333333,125.91666666
VNM,Vietnam,16.16666666,107.83333333
URY,Uruguay,-33.0,-56.0
VAT,Vatican City,41.9,12.45
HKG,Hong Kong,22.267,114.188
AUT,Austria,47.33333333,13.33333333
ATG,Antigua and Barbuda,17.05,-61.8
TKM,Turkmenistan,40.0,60.0
MOZ,Mozambique,-18.25,35.0
PAN,Panama,9.0,-80.0
FSM,Micronesia,6.91666666,158.25
IRL,Ireland,53.0,-8.0
CUW,Curaçao,12.116667,-68.933333
GUF,French Guiana,4.0,-53.0
NOR,Norway,62.0,10.0
ALA,Åland Islands,60.116667,19.9
CAF,Central African Republic,7.0,21.0
BFA,Burkina Faso,13.0,-2.0
ERI,Eritrea,15.0,39.0
TZA,Tanzania,-6.0,35.0
KOR,South Korea,37.0,127.5
JOR,Jordan,31.0,36.0
MRT,Mauritania,20.0,-12.0
LTU,Lithuania,56.0,24.0
UMI,United States Minor Outlying Islands,19.3,166.633333
SVK,Slovakia,48.66666666,19.5
AGO,Angola,-12.5,18.5
KAZ,Kazakhstan,48.0196,66.9237
MDA,Moldova,47.0,29.0
MLI,Mali,17.0,-4.0
FLK,Falkland Islands,-51.75,-59.0
ARM,Armenia,40.0,45.0
WSM,Samoa,-13.58333333,-172.33333333
JEY,Jersey,49.25,-2.16666666
JPN,Japan,36.0,138.0
BOL,Bolivia,-17.0,-65.0
CHL,Chile,-30.0,-71.0
USA,United States,38.0,-97.0
VCT,Saint Vincent and the Grenadines,13.25,-61.2
BMU,Bermuda,32.33333333,-64.75
SYC,Seychelles,-4.58333333,55.66666666
IOT,British Indian Ocean Territory,-6.0,71.5
GTM,Guatemala,15.5,-90.25
ECU,Ecuador,-2.0,-77.5
MTQ,Martinique,14.666667,-61.0
TJK,Tajikistan,39.0,71.0
MLT,Malta,35.9375,14.3754
GMB,Gambia,13.46666666,-16.56666666
NGA,Nigeria,10.0,8.0
BHS,Bahamas,25.0343,-77.3963
UNK,Kosovo,42.666667,21.166667
KWT,Kuwait,29.5,45.75
MDV,Maldives,3.25,73.0
SSD,South Sudan,7.0,30.0
IRN,Iran,32.0,53.0
ALB,Albania,41.0,20.0
